"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","Embrace","22635:22875","0.200833","0"
"1","CellToEar","14155:14435","0.703875","1"
"2","CellToEar","15355:15955","0.458937","0"
"3","CellToEar","22555:22875","0.227778","0"
"4","CellToEar","63795:63915","0.352000","0"
"5","CellToEar","159715:159795","0.285000","0"
"1","Pointing","14155:14435","0.389143","0"
"2","Pointing","15435:15955","0.303231","0"
"3","Pointing","34315:34395","0.268500","0"
"4","Pointing","34515:35355","0.253111","0"
"5","Pointing","104875:105115","0.325333","0"
"6","Pointing","124875:124995","0.422333","0"
"7","Pointing","144555:144675","0.412333","0"
"8","Pointing","163715:163835","0.456000","0"
