"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","Embrace","35:155","0.428000","0"
"2","Embrace","1515:1875","0.725222","1"
"3","Embrace","2595:2675","0.188333","0"
"4","Embrace","2795:3395","0.539571","1"
"5","Embrace","3595:3715","0.191000","0"
"6","Embrace","4235:4395","0.806000","1"
"7","Embrace","5235:6995","0.536103","1"
"8","Embrace","7275:7395","0.216667","0"
"9","Embrace","8155:8315","0.192800","0"
"10","Embrace","8475:10675","0.383082","0"
"11","Embrace","10875:11195","0.293833","0"
"12","Embrace","11315:11675","0.240333","0"
"13","Embrace","12075:12155","0.703000","1"
"14","Embrace","12475:13275","0.342444","0"
"15","Embrace","13395:13595","0.531833","1"
"16","Embrace","14035:14435","0.465889","0"
"17","Embrace","14595:15475","0.484850","0"
"18","Embrace","15595:15715","0.320000","0"
"19","Embrace","15875:16115","0.423000","0"
"20","Embrace","16355:16435","0.713667","1"
"21","Embrace","16875:16995","0.376000","0"
"22","Embrace","17235:17355","0.310333","0"
"23","Embrace","18755:18835","0.499000","0"
"24","Embrace","19555:19715","0.670667","1"
"25","Embrace","19835:20155","0.405125","0"
"26","Embrace","20555:20635","0.493500","0"
"27","Embrace","21155:21675","0.677571","1"
"28","Embrace","21875:22435","0.616000","1"
"29","Embrace","22715:26355","0.585023","1"
"30","Embrace","26475:28395","0.500646","1"
"31","Embrace","28515:28955","0.643333","1"
"32","Embrace","29075:30075","0.673000","1"
"33","Embrace","30195:30515","0.490000","0"
"34","Embrace","30635:32995","0.630458","1"
"35","Embrace","33115:36155","0.670792","1"
"36","Embrace","36515:36595","0.415000","0"
"37","Embrace","36955:37115","0.189333","0"
"38","Embrace","37235:37635","0.493125","0"
"39","Embrace","37875:37995","0.553333","1"
"40","Embrace","38795:38995","0.436000","0"
"41","Embrace","39115:39955","0.511278","1"
"42","Embrace","40075:40315","0.377600","0"
"43","Embrace","40435:40595","0.546600","1"
"44","Embrace","40755:41635","0.524545","1"
"45","Embrace","41875:42195","0.390250","0"
"46","Embrace","42435:42635","0.262750","0"
"47","Embrace","43275:44675","0.626882","1"
"48","Embrace","45675:45835","0.510000","1"
"49","Embrace","46275:46395","0.610000","1"
"50","Embrace","46675:46835","0.308400","0"
